gradesci,sci_term1 ,sci_term2,sci_term3,sci_term4,sci_term5,total,onetsci
3.12,4,3.5,2,3,2.5,3.67,52
3.74,4,4,3.5,4,3,3.83,66
3.21,3.5,3,2.5,4,2.5,3.70,40
3.65,4,3.5,4,4,2.5,3.83,52
2.68,2.5,3,1.5,2.5,3,3.52,34
3.29,4,3.5,2.5,3.5,2.5,3.72,65
2.18,2.5,1.5,2,2,2,2.49,36
2.68,3,3.5,1.5,2.5,2,3.12,38
3.65,4,4,3.5,4,2.5,3.74,58
3.29,3.5,3.5,2.5,3.5,3,3.71,42
2.59,3,3.5,2,1.5,2,3.14,34
2.41,2.5,3,1.5,2,2,2.90,46
2.68,2.5,3,2,2.5,2.5,3.00,40
2.15,2,2,1.5,2,2,2.52,28
2.41,3,2,1.5,2.5,2,3.06,34
2.59,3,2,1.5,3,2.5,3.32,38
2.68,2,3,2.5,2.5,2.5,3.33,46
1.79,2,1.5,1,1.5,2,2.34,16
2.47,2.5,2,2,3,2,2.93,40
2.68,2,2.5,2.5,3,2.5,3.14,38
1.97,1.5,3,1.5,1.5,1,2.37,12
2.68,2,2.5,3,3,2,2.91,40
2.94,3.5,3.5,2,3,2,3.32,64
2.47,3,2,1.5,2.5,2.5,3.03,52
2.41,2.5,2,1.5,2.5,2.5,3.05,40
2.21,2.5,2.5,1,2.5,2,2.93,36
2.32,2,2,1.5,2.5,2.5,3.01,42
2.15,2,2.5,1.5,1.5,2,2.78,16
2.76,3,2.5,2,3,2.5,3.10,46
2.24,2.5,2,1.5,2,2,2.67,32
2.32,2.5,2.5,1.5,2,2,2.94,26
2.03,2,1.5,1.5,2.5,1.5,2.53,28
2.12,2.5,2.5,1,2,2,2.79,36
2.15,2,2.5,1.5,1.5,2,2.78,32
2.50,2.5,2.5,2,2.5,2,2.97,34
3.12,3.5,4,2.5,2.5,2.5,3.59,36
3.38,3.5,3.5,2.5,3.5,3.5,3.57,40
2.68,2.5,2.5,2,3,2.5,3.11,26
1.91,2,1.5,1.5,1.5,2,2.58,18
2.94,3,3.5,2.5,2.5,2.5,3.56,39
2.76,3,3,2,3,2,3.20,40
2.59,2.5,3,2,2.5,2,3.23,36
2.76,3,3,2.5,2.5,2,3.04,20
2.12,2.5,2.5,1,1.5,2,2.88,36
2.85,3,2.5,2.5,3,2.5,3.40,40
2.76,2.5,3,2,3,2.5,3.37,52
2.32,2,2,2,2.5,2,2.78,30
2.68,3,3,2,2.5,2,3.16,36
2.85,3,3,2,3,2.5,3.32,36
2.50,2.5,3,1.5,2.5,2,3.10,32
2.59,3.5,3,1,2.5,2,3.11,42
2.65,2.5,3,2,2.5,2.5,3.07,40
2.50,2.5,2.5,1.5,2.5,2.5,2.96,32
2.59,3,2.5,1.5,2.5,2.5,3.13,22
3.12,3.5,3,2,3.5,3,3.61,50
2.59,3.5,2.5,1.5,2.5,2,2.81,32
