@relation TrainMath

@attribute grademath numeric
@attribute math_term1 numeric
@attribute math_term2 numeric
@attribute math_term3 numeric
@attribute math_term4 numeric
@attribute math_term5 numeric
@attribute total numeric
@attribute onetmath {excellent,good,fair}

@data
2.85,2.5,2,2,2.5,1.5,2.88,good
2.3,1,1.5,2.5,2,1,2.02,fair
2.6,2.5,2,1.5,2,1.5,2.63,good
3,2.5,3,2.5,4,3.5,3.24,good
2.75,2.5,2.5,1.5,2.5,1,2.83,fair
2.45,3,3,2.5,3.5,2,2.67,good
3.15,4,3.5,3.5,4,3.5,3.24,good
2.9,1.5,2.5,2.5,2.5,2,2.53,fair
3.55,3.5,4,2.5,4,3,3.32,good
1.8,1,2,1,2,1,2.06,fair
2.15,1,3,2.5,2,1,2.11,fair
1.6,3.5,2,1.5,1,1,1.96,fair
2.35,2,2,2.5,1.5,1,2.63,fair
3.1,3.5,4,3,4,2.5,3.34,good
3.6,4,3.5,3.5,3.5,3,3.5,fair
2.7,3,3.5,1.5,2.5,1,2.88,fair
2.6,2,3,2.5,2.5,1.5,2.85,good
3.4,3.5,4,3.5,3,2,3.47,fair
3.35,1.5,3.5,2.5,2,1,3.11,fair
3.4,3.5,3.5,3.5,3.5,1,3.33,fair
3.8,4,4,3.5,4,4,3.8,fair
3.4,4,3.5,3,3,2,3.35,fair
3.05,3,3,2.5,2.5,1,3.1,fair
3.9,4,4,4,4,3.5,3.75,fair
3.75,4,4,3.5,4,3,3.7,excellent
3.05,1.5,3,1.5,2.5,2.5,3.09,fair
3.5,3,3.5,2.5,3.5,1.5,3.39,good
3.55,3,3.5,2.5,2.5,1,3.26,fair
2.7,1.5,2,2.5,1.5,1,2.64,fair
3.8,4,4,4,4,4,3.9,excellent
3.15,3,3.5,2,3,1.5,3.17,fair
3.3,4,4,3,3.5,2,3.18,fair
2.6,3,4,2.5,3,2,2.94,fair
3.7,3.5,3.5,3,3,2,3.35,fair
3.3,4,3.5,3,3.5,3.5,3.42,fair
3.85,4,4,4,4,3.5,3.73,good
3.3,2.5,2.5,2.5,2,3,3.09,fair
