gradethai,thai_term1,thai_term2,thai_term3,thai_term4,thai_term5,tatal,onetthai
2.3,1.5,3,2.5,1.5,3,2.37,fair
2.3,1.5,2,2.5,2.5,3,2.91,fair
3.3,1.5,4,3.5,4,3.5,3.32,fair
2.9,1.5,3,3,3.5,3.5,3.03,fair
2.7,2,3.5,2.5,2.5,3,3.05,good
2.9,1.5,3,4,3,3,2.93,good
2.6,1.5,3,3,2.5,3,3.01,fair
2.7,1.5,4,2.5,2.5,3,2.78,fair
2.9,2,3.5,3,3,3,3.1,good
2.5,2,3,2.5,2,3,2.67,fair
2.9,2,4,3,2.5,3,2.94,fair
2.1,2,3,2,1,2.5,2.53,fair
2.6,2.5,2.5,3,2,3,2.79,good
2.5,2,2.5,3,2,3,2.78,fair
3.3,3.5,3.5,3,3,3.5,2.97,fair
3.3,2.5,3.5,3,3.5,4,3.59,excellent
3.7,4,4,3.5,3.5,3.5,3.57,good
3.1,2,3.5,3.5,3,3.5,3.11,fair
2.6,2.5,3.5,2.5,2,2.5,2.58,fair
3.9,4,4,4,3.5,4,3.56,good
3.1,2,3.5,3,3.5,3.5,3.2,fair
3.3,3,4,3,3,3.5,3.23,fair
3,2,3.5,3,3,3.5,3.04,fair
2.9,2.5,3.5,3,2.5,3,2.88,good
3.7,3.5,4,3.5,3.5,4,3.4,good
3.7,4,4,4,3.5,3,3.37,good
3,3,3,3.5,3,2.5,2.78,fair
3.2,3,4,3,3,3,3.16,good
3.3,2,3.5,3.5,4,3.5,3.32,good
3.3,2.5,4,3.5,3,3.5,3.1,fair
3.2,2.5,3.5,3.5,3,3.5,3.11,good
3.1,2,3.5,3.5,3.5,3,3.07,fair
2.9,2,4,3,2.5,3,2.96,fair
3,2,4,3,3,3,3.13,fair
3.5,2,4,3.5,4,4,3.61,good
2.8,3,4,2.5,1.5,3,2.81,good
3.2,3.5,3.5,3,2.5,3.5,3.02,fair
2.2,2,3,2,1.5,2.5,2.32,fair
2.2,3,2,1.5,2,2.5,2.85,fair
2.7,2.5,2,2.5,3.5,3,3.14,good
3,3,3,3,3,3,3.51,excellent
4,4,4,4,4,4,3.94,excellent
3.9,3.5,4,4,4,4,3.86,excellent
1.8,1.5,2,2,2,1.5,2.69,fair
2.9,2.5,3,3,2,4,3.33,excellent
3.6,3,3.5,3.5,4,4,3.68,excellent
2,1.5,2,2.5,2,2,3.14,excellent
2.4,2,2,2.5,2.5,3,3.2,excellent
2.9,2.5,3,3.5,2.5,3,3.07,good
3.5,3.5,3.5,4,3,3.5,3.45,excellent
4,4,4,4,4,4,3.9,excellent
3.8,3.5,3.5,4,4,4,3.75,excellent
3.9,3.5,4,4,4,4,3.88,excellent
4,4,4,4,4,4,3.92,excellent
3.8,3,4,4,4,4,3.9,excellent
4,4,4,4,4,4,3.99,excellent
3.5,3,3,4,4,3.5,3.61,excellent
4,4,4,4,4,4,4,excellent
3.9,3.5,4,4,4,4,3.93,excellent
4,4,4,4,4,4,3.92,excellent
3.9,3.5,4,4,4,4,3.83,excellent
3.7,3.5,3,4,4,4,3.67,excellent
3.8,3.5,3.5,4,4,4,3.86,excellent
3.8,3.5,3.5,4,4,4,3.82,excellent
4,4,4,4,4,4,3.92,excellent
3.6,2.5,3.5,4,4,4,3.48,good
4,4,4,4,4,4,3.92,excellent
3.7,3,4,4,4,3.5,3.41,good
3.8,3,4,4,4,4,3.92,excellent
3.6,3,3,4,4,4,3.88,excellent
4,4,4,4,4,4,3.98,excellent
2.4,2,2,2.5,2.5,3,2.87,excellent
2.4,2,2.5,2.5,2.5,2.5,2.73,good
2.8,2.5,2.5,3,3,3,3.01,good
2.8,2,2.5,3,3,3.5,2.9,good
2.6,2,3,2,3,3,3.49,good
3,3,3,2,3,4,3.39,good
3.4,3,3,4,3.5,3.5,3.7,excellent
1.5,1.5,2,1.5,1.5,1,2.3,fair
2.2,1.5,2.5,3,2.5,1.5,2.82,good
2.4,1.5,2.5,2.5,2.5,3,2.83,fair
3,2,3,4,3,3,3.13,good
2.8,2.5,2.5,3,3,3,3.18,fair
2.9,3,4,3,1.5,3,3.17,good
3.8,3.5,3.5,4,4,4,3.55,fair
4,4,4,4,4,4,3.84,excellent
3.2,2.5,3,3.5,3.5,3.5,3.15,fair
3.4,3,3,4,3,4,3.69,good
3.9,3.5,4,4,4,4,3.8,good
3.2,2.5,2.5,3.5,3.5,4,3.33,fair
