gradeeng,eng_term1,eng_term2,eng_term3,eng_term4,eng_term5,total,oneteng
3.94,4,4,4,3.5,4,3.83,excellent
3.75,4,3.5,3.5,4,4,3.70,good
3.98,4,4,4,4,4,3.83,excellent
3.23,3,2.5,3,3.5,2,3.52,good
3.62,4,3.5,3,4,2.5,3.72,good
2.00,1,2,2,2,1,2.49,fair
2.60,2.5,2,2,2.5,1.5,3.12,fair
3.92,4,4,3.5,4,4,3.74,good
3.81,3.5,4,3.5,3.5,4,3.71,excellent
2.79,3,3.5,2,3,1.5,3.14,good
2.27,1.5,2,2,2.5,1,2.90,good
3.37,4,4,3.5,3,2.5,3.00,good
1.83,1,1.5,1.5,1.5,1.5,2.52,fair
3.23,4,3.5,3.5,3,2.5,3.06,good
3.60,4,3,3.5,4,3,3.32,good
3.21,2,3,3.5,3,3,3.33,good
2.50,2.5,2,2.5,3,2,2.34,good
1.90,1,2,1.5,2,1,2.93,fair
2.75,2.5,2.5,2,3,2.5,3.14,fair
2.44,2.5,3,3,2.5,1.5,2.37,fair
2.88,2.5,2.5,3,3,1.5,2.91,good
3.12,3,3,2,3,2.5,3.32,good
2.60,2.5,2,1.5,2,1.5,3.03,fair
2.94,3,3,2.5,2.5,2,3.05,fair
3.25,3.5,3,1.5,4,3,2.93,good
2.40,2,2.5,2,2,1.5,3.01,fair
2.52,3.5,3,2.5,2,1.5,2.78,good
2.63,2.5,3,2,2.5,2,3.10,good
2.23,1,1.5,2,2,1.5,2.67,fair
2.12,1.5,2,1.5,1.5,1.5,2.94,fair
2.33,2,2,2,2.5,1.5,2.53,fair
2.88,3.5,3,2.5,3,1.5,2.79,fair
2.73,3,3,2,2,2,2.78,fair
2.38,1.5,2,2,2,1.5,2.97,fair
3.67,3.5,3,3,4,4,3.59,good
3.21,4,3.5,2.5,3,2,3.57,good
3.15,3,3,2.5,3,4,3.11,fair
2.12,2,1.5,2,2,1.5,2.58,fair
3.38,3.5,3,2.5,3,3.5,3.56,good
2.88,2.5,2.5,2.5,3,2,3.20,fair
2.96,2,3,2.5,3,2.5,3.23,fair
2.48,2,2.5,1.5,2.5,1.5,3.04,good
2.58,3,2,2,2,1.5,2.88,fair
2.65,2,2,2.5,2.5,2,3.40,fair
2.92,2.5,2.5,2,3,3,3.37,fair
2.04,1,1.5,1.5,2.5,1,2.78,fair
2.92,3,3,2,2.5,2,3.16,good
3.15,3,3,2.5,3,2.5,3.32,good
2.94,3.5,3,2,3,2,3.10,good
3.42,4,3.5,3.5,3,4,3.11,good
2.81,3,3,2,3,2,3.07,good
2.65,3,3,2,2,1.5,2.96,fair
2.90,2,2,2.5,3,2,3.13,good
3.71,4,4,3,4,3,3.61,good
2.10,2,3,2,2,1,2.81,fair
2.73,3,3,2,3,1.5,3.02,fair
1.85,1,2,2,2.5,1,2.32,fair
2.67,2.5,2.5,1.5,3,1,2.85,fair
3.09,3.5,3,3,2.5,3,3.13,good
3.39,4,3,3.5,3,3.5,3.51,good
3.94,4,4,3.5,4,4,3.94,excellent
3.93,4,4,3.5,4,4,3.85,good
1.59,2,1.5,1,1.5,2.5,2.65,fair
2.39,3,2,2,1.5,2.5,3.33,fair
3.80,4,3,3.5,4,4,3.66,excellent
3.48,3.5,3.5,3.5,3.5,4,3.10,excellent
2.24,3,1.5,1.5,2,2.5,3.18,fair
2.11,2,2,1.5,2.5,2,3.03,fair
3.56,4,2.5,3.5,3,3.5,3.44,good
4.00,4,4,4,4,4,3.90,excellent
3.44,3.5,3.5,3,3,3,3.75,good
4.00,4,4,4,4,4,3.88,excellent
3.93,4,4,4,3.5,4,3.92,excellent
3.85,4,3,4,4,4,3.90,good
3.94,4,4,4,3.5,4,3.99,good
3.59,4,3,3.5,3,4,3.59,excellent
4.00,4,4,4,4,4,4.00,excellent
3.89,4,4,3.5,3.5,4,3.92,excellent
3.83,4,3.5,4,3.5,4,3.92,excellent
3.81,4,3.5,4,3.5,3.5,3.83,good
3.76,4,4,4,3,4,3.64,good
3.65,4,3,4,3,3,3.85,good
3.69,4,3.5,4,3.5,3,3.80,excellent
3.94,4,4,3.5,4,4,3.91,excellent
3.19,4,3,3,2.5,2.5,3.45,good
3.89,4,3.5,4,4,4,3.92,excellent
2.89,2.5,2.5,2.5,2.5,2.5,3.38,fair
4.00,4,4,4,4,4,3.92,excellent
4.00,4,4,4,4,4,3.87,excellent
4.00,4,4,4,4,4,3.98,excellent
2.96,3.5,2.5,2.5,3,3.5,2.87,good
3.00,3.5,3,2.5,2.5,3,2.73,good
3.39,4,3,3,3.5,4,3.01,excellent
2.78,3.5,2,2.5,3,3,2.90,good
3.87,4,4,4,4,4,3.49,excellent
3.20,3,2.5,3,2.5,4,3.39,good
3.87,4,4,4,3.5,4,3.70,good
2.72,3,2,3,2.5,3,2.30,good
3.56,4,4,3.5,3,4,2.82,good
3.04,4,2.5,3,2.5,3,2.83,good
3.63,4,3.5,4,3,4,3.13,good
3.63,4,4,3,3.5,4,3.18,excellent
2.80,2,3.5,2,2.5,4,3.17,good
3.74,4,4,3.5,3,3.5,3.55,good
3.89,4,4,4,3,4,3.84,excellent
3.20,4,3,3,2.5,3,3.15,good
3.94,4,3.5,4,4,4,3.69,excellent
3.83,4,3,4,3.5,4,3.80,excellent
3.63,4,3.5,4,3,4,3.33,good
3.94,4,4,4,3.5,4,3.82,excellent
