gradesci,sci_term1,sci_term2,sci_term3,sci_term4,sci_term5,total,onetsci
4,4,4,4,4,4,3.83,excellent
3.39,3,3,3,3.5,2,3.67,excellent
3.96,4,4,4,4,4,3.86,excellent
3.68,3,3.5,3.5,4,3,3.82,excellent
3.91,4,4,4,4,3.5,3.92,excellent
3.41,3.5,3,2.5,3,2.5,3.48,good
4,4,4,4,4,4,3.92,excellent
3.3,4,3,2.5,3,1.5,3.41,excellent
3.95,3.5,4,4,4,4,3.92,excellent
3.84,4,3.5,3.5,4,3.5,3.88,good
4,4,4,4,4,4,3.98,excellent
2.68,2.5,2.5,2,2,3.5,2.87,good
2.55,3,2.5,2,1.5,2.5,2.73,fair
2.9,3,3,3.5,2.5,2,3.01,good
2.5,2,2.5,2,2,2.5,2.9,fair
3.98,4,4,4,4,4,3.49,excellent
3.43,3.5,3.5,3.5,3,3.5,3.39,excellent
3.78,4,4,4,3.5,4,3.7,good
2.13,1.5,2,2,1,2,2.3,good
2.65,2,2,3,3,2.5,2.82,good
2.6,2.5,2.5,2.5,2.5,2,2.83,good
2.95,3,3,3,2.5,2.5,3.13,good
3.3,3.5,3.5,3.5,3,3,3.18,good
2.63,2.5,3.5,1.5,1,2.5,3.17,good
3.53,3.5,2.5,4,3.5,3.5,3.55,good
3.93,4,3.5,4,4,4,3.84,excellent
2.9,2.5,2.5,2.5,2.5,3,3.15,good
3.93,4,4,4,4,4,3.69,excellent
3.98,4,4,4,4,4,3.8,excellent
3.53,3.5,2.5,4,3.5,3.5,3.33,good
3.73,4,2.5,4,4,4,3.82,good
2.8,3,2.5,2,2.5,2.5,3,good
3.38,3.5,2.5,3,3.5,3.5,3.67,good
3.15,3.5,2,3,3,3,3.48,good
3.98,4,4,4,4,4,3.95,excellent
3.68,4,2,4,4,4,3.79,good
3.75,4,2.5,4,4,4,3.71,good
3.38,3.5,3,4,2,3.5,3.54,good
3.13,3.5,3,3,3,2.5,3.57,good
3.7,4,3.5,3.5,3,4,3.83,good
2.28,1.5,1.5,2.5,2,1,2.66,fair
3.55,3.5,2.5,4,4,4,3.62,good
2.6,3,2,2.5,2.5,1.5,3.11,good
3.28,4,4,3,3,2,3.02,good
3.38,4,3,3,3.5,2.5,3.55,good
3.6,3.5,3,3.5,3.5,4,3.49,good
3.25,4,2.5,3,3,2.5,3.58,good
3.1,4,2.5,3,2.5,2,3.55,good
3.25,3.5,3.5,3.5,3,2.5,3.43,good
2.38,3,2,2.5,1.5,1,2.5,good
3,3.5,2.5,3,3,1.5,3.32,good
2.98,3,1.5,2.5,2.5,4,3.44,good
3.63,3.5,2.5,4,4,3.5,3.66,good
3.5,4,3,3,3.5,4,3.53,good
3.55,4,3.5,3,3,4,3.63,good
2.83,3,2.5,3,2.5,2,2.93,good
3.08,4,3,2.5,2.5,2,3.46,good
2.83,4,3,1.5,2.5,1.5,3.1,good
3.03,3.5,2,3,2.5,2.5,3.19,good
3.25,4,3,3,3,3,3.31,good
3.4,4,2,3,3.5,3.5,3.78,fair
3.58,4,2,3.5,4,4,3.73,good
3.85,4,3.5,3.5,4,4,3.93,good
3.58,4,2.5,3,4,4,3.71,good
3.48,4,3,3,3,4,3.63,good
4,4,4,4,4,4,3.97,excellent
4,4,4,4,4,4,3.89,excellent
3.2,3.5,1.5,3,4,3,3.76,good
3.4,3,2.5,3,4,3.5,3.79,good
4,4,4,4,4,4,3.97,excellent
3.28,4,2.5,3,3.5,2.5,3.6,good
2.95,4,2,3,3,1,3.24,good
3.48,4,2.5,3.5,3.5,3,3.76,good
3.85,4,3,4,4,4,3.87,good
3.43,3.5,2,3.5,4,3.5,3.81,good
3.55,4,2.5,3,3.5,4,3.88,good
2.65,3,1.5,2.5,3,1,3.31,good
3.5,4,3,3,3.5,3.5,3.66,good
3.48,4,2.5,3,3.5,3.5,3.68,good
3.78,4,3,3.5,4,4,3.89,good
3.1,3.5,2.5,3,3,2,3.38,good
3.48,4,3,3.5,3.5,2.5,3.69,good
3.55,4,2.5,3,4,3.5,3.74,good
4,4,4,4,4,4,3.95,excellent
3.48,4,2.5,3.5,3.5,3,3.62,good
3.41,3,3,2.5,3.5,3,3.46,good
3.57,4,3.5,3.5,3,3,3.62,good
