Thai,Math,Sci,Eng,Art,Social,Activity,Work,class
2.4,1.58,1.76,3.41,2.5,2.28,3.4,3.36,language
2.2,2.98,2.5,3.5,2.1,2.28,3.2,3.57,general
3.7,2.16,2.35,3.07,3.9,3.66,3.4,3.5,general
2.9,2.26,2.12,2.81,3.8,3.14,3.65,3.43,general
2.8,2.44,2.76,3.26,4,2.94,3.45,3.64,general
2.9,2.48,2.71,2.87,3.5,3.3,3.6,3.64,general
4,3.96,4,3.94,4,4,4,4,calculate
3.2,2.96,2.91,3.57,3.7,3.44,3.75,3.64,Social
3.7,3.62,3.56,3.83,3.6,3.86,3.75,4,general
3,3.9,3.32,3.72,3.7,3.42,3.5,3.86,calculate
3.6,3.06,3.24,3.87,3.8,3.68,3.95,3.71,Social
2.6,1.66,1.97,2.72,3.4,3.1,3.5,3.29,Social
2.5,1.7,2.12,3,3.4,2.36,3.45,3.07,Social
2.7,2.04,1.91,3.07,3.3,2.54,3.4,3.36,Social
3.1,1.7,2.18,2.7,3.9,2.82,3.5,3.21,general
3.3,2.76,2.79,3.67,3.7,3.48,3.8,3.86,general
2.5,1.32,2.03,2.91,3.2,3.1,3.35,3.36,general
3.9,3.74,3.88,3.93,3.8,4,3.75,3.79,Social
3.2,2.88,3.09,4,3.6,3.62,3.6,3.5,language
3.1,1.88,2.85,3.41,3.3,3.1,3.45,3.64,general
3.8,3.72,3.21,3.98,3.8,3.84,4,4,general
2.8,1.42,2.32,2.67,3,2.8,3.55,3.29,Social
3.4,3.6,3.15,3.83,4,3.6,3.65,3.64,general
3.2,2.64,2.91,3.46,3.9,3.7,3.65,3.57,general
4,3.72,3.38,3.94,3.4,3.82,3.65,3.86,language
2.8,1.2,1.97,2.98,2.6,2.56,3.55,3,Social
3.4,3.18,3.06,3.61,3.7,3.68,3.8,3.71,Social
3,1.96,2.85,3.07,3,3.28,3.65,3.57,Social
3.1,2.76,3.03,3.59,3.2,3.58,3.75,3.71,Social
2.8,3,2.74,2.96,3.7,3.32,3.55,3.64,general
3.6,3.56,2.94,3.59,3.9,3.74,3.65,3.79,general
2.3,2.66,2.68,2.81,2.4,2.78,3.3,2.93,Social
2.4,1.88,1.53,2.69,3.3,2.74,3.35,3.21,Social
2.3,2.12,1.71,2.91,2.7,2.72,3.55,3.5,Social
2.4,2.12,1.79,3.06,3,2.86,3.55,3.36,Social
2,1.12,1.44,1.96,1.9,2.18,3.5,3.14,Social
2.2,1.2,1.32,1.93,2.9,2,3.1,2.79,Social
2.4,2.34,1.97,3.26,2.9,3.02,3.3,3.36,general
2.2,1.88,1.56,2.52,2.7,2.4,3.35,3.29,Social
2.8,2.54,2.35,3.83,2.7,3.24,3.65,4,general
1.3,1.58,1.29,2.02,2.4,1.64,3.3,3,Social
2.4,2.1,2.35,3.17,2.6,3.3,3.8,3.36,Social
1.3,1.44,1.21,3.31,1.6,1.88,2.95,2.5,language
2.4,1.62,1.76,2.59,2.9,2.94,3.5,3.29,Social
3,3.22,2.71,3,3.7,3.2,3.7,3.36,general
2.3,1.84,2.15,3.17,3.1,2.88,3.7,3.5,Social
2.4,2.68,1.94,2.39,2.4,2.8,3.6,3.14,Social
2.7,3.78,2.65,3.61,2.9,3.08,3.55,3.64,calculate
1.9,1.96,1.35,3.7,2,2.5,3.45,3.36,language
3.3,3.12,2.65,3.63,2.8,3.86,3.65,3.57,Social
1.5,1.28,1.29,1.89,2.1,2.28,3.35,2.79,Social
1.2,1.7,1.21,2.61,2.2,2.06,3.35,2.57,Social
1.2,1.6,1.53,1.8,2.2,1.68,3.2,2.5,Social
2.3,1.72,2.24,2.28,3,3.1,3.1,3.29,general
3.3,3.4,2.85,2.85,3.5,3.62,3.45,3.71,general
3.6,3.54,2.59,3.74,3.5,3.66,3.7,3.64,language
2.5,2.1,2,3.06,3.1,3.2,3.6,3.5,Social
2.4,2.18,2.03,3,3.3,2.78,3.4,3.71,general
3.6,3.12,2.65,3.22,3.7,3.56,3.9,4,general
2.9,2.18,2.38,3.74,3.5,3,3.35,3.86,general
3.4,2.96,2.53,3.57,3.1,3.52,3.75,3.79,general
3.8,3.86,3.35,3.85,3.9,3.68,3.95,4,general
3.5,3.02,2.29,3.44,3.6,3.58,3.6,3.79,general
3,2.28,1.97,3.3,3.6,3.3,3.55,3.79,general
3.8,3.9,2.94,4,3.8,3.76,3.9,3.93,language
3.6,3.74,3.09,3.94,3.8,3.7,3.8,3.93,language
2.8,2.2,2.24,3.33,3.5,3.3,3.6,3.79,general
3.3,2.92,2.5,3.76,3.8,3.18,3.7,4,general
3.1,2.5,2.18,3.98,3.6,3.26,3.65,3.79,language
2.5,1.62,1.71,2.89,2.7,2.9,3.45,3.36,Social
3.8,4,3.82,3.83,4,3.84,3.9,4,calculate
3,2.52,2.09,3.35,3.5,3.38,3.75,3.79,general
2.9,3.14,2.21,3.65,3.1,3,3.7,3.71,general
2.5,2.74,2.24,2.8,3.4,2.84,3.45,3.57,general
3.4,3.08,2.21,3.87,3.3,3.44,3.85,3.64,language
3.3,3.42,2.38,3.44,4,3.14,3.85,3.86,general
3.9,3.82,3.03,3.89,3.9,3.68,3.8,3.86,language
2.8,2.26,2.24,3.8,3.1,3.12,3.75,3.64,language
2.5,1.84,2.09,2.56,3.6,2.96,3.55,3.43,general
3.7,2.44,2.68,2.29,3.5,3.36,3.45,3.42,language
1.8,1.76,2.56,2.48,3.3,2.84,3.5,2.83,Social
2,1.46,2.12,2.08,3.1,2.9,3.7,2.58,Social
1.4,1.42,1.62,1.46,2.7,1.64,3.25,2.58,Social
2.6,2.2,2.38,3.21,3.6,3.3,3.35,3.42,general
3.8,3.78,3,3.6,3.5,3.6,3.8,3.83,general
1.8,1.8,1.91,1.83,2.8,2.36,3.5,3.33,Social
1.5,1.82,1.82,2.6,2.7,2.06,3.3,2.33,Social
3.4,3,2.65,2.65,3.9,3.82,3.85,3.75,general
1.8,1.56,2.12,2.23,3.1,2.52,3.25,2.67,Social
1.9,1.94,2.35,3.46,2.9,2.92,3.5,3.33,Social
1.8,1.74,2.26,2.25,3,2.24,3.55,2.83,Social
1.1,1.3,1.91,1.71,2.1,2.02,3.5,2.58,Social
2.8,2.26,2.56,2.56,3.4,3.44,3.75,3.42,Social
1.8,1.92,2.09,2.81,2.6,2.72,3.1,3.42,general
2.4,2.42,2.29,2.73,3.4,3.16,3.65,3.58,Social
1.4,1.72,1.79,1.9,3.1,2.12,3.35,2.33,Social
2.9,2.24,3.18,1.94,3.4,3.74,3.6,3.67,Social
2.2,2.98,2.74,2.31,3.3,2.76,3.55,3.17,Social
1.4,1.02,1.82,1.58,3.1,1.18,2.8,2.25,general
3,2.18,2.29,3.12,3.1,3.34,3.4,3.17,Social
3.9,4,3.47,3.92,4,3.88,4,4,calculate
2.9,2.48,2.68,2.98,3.5,3.6,3.6,3.75,general
3.6,3.64,3.47,3.63,3.9,3.78,3.85,3.83,general
3,2.48,2.59,2.9,3.6,3.62,3.55,3.83,general
2.2,1.92,2.15,2.35,3.7,2.86,3.45,2.83,general
2,2.12,2.15,2.29,3.8,2.62,3.4,3,general
3.1,3.44,2.94,3.21,3.9,3.66,3.5,3.58,general
3.3,3.12,3.29,3.12,4,3.62,3.6,3.58,general
2.9,2.42,2.32,2.5,4,3.64,3.9,3.5,general
3.6,3.62,3.56,3.98,3.7,3.76,3.7,3.75,language
3.8,3.2,3.12,3.9,3.8,3.9,3.85,3.92,general
3.7,2.9,2.76,3.29,3.9,3.6,3.85,3.92,general
3.4,2.9,2.5,2.58,4,3.46,3.75,3.67,general
3.5,3.42,3.12,3.65,4,3.78,3.85,4,general
3.5,3.7,3.74,3.94,3.9,3.86,4,4,general
4,3.52,3.21,3.75,4,3.84,3.6,3.67,language
4,3.6,3.65,3.98,3.9,3.74,3.85,3.92,language
3.5,3.4,2.68,3.23,3.9,3.8,3.8,3.83,general
3.8,3.84,3.29,3.62,3.8,3.82,3.7,3.92,general
2.1,1.42,2.18,2,3.1,2.64,3.2,3.25,general
2.9,2.6,2.68,2.6,3.6,3.48,3.6,3.5,general
3.5,3.8,3.65,3.92,3.8,3.76,3.65,3.83,language
4,3.04,3.29,3.81,3.9,3.92,3.85,3.83,language
3.1,2.2,2.59,2.79,4,3.32,3.65,3.5,general
2.3,2.32,2.41,2.27,3.6,3.4,3.65,3.25,Social
2.4,1.96,2.68,3.37,3.4,3.24,3.55,3.42,Social
2.3,1.38,2.15,1.83,3.1,2.7,3.35,3.33,Social
2.8,2.3,2.41,3.23,3.1,3.24,3.7,3.67,Social
2.7,3.32,2.59,3.6,3.5,3.5,3.65,3.67,general
2.8,3.8,2.68,3.21,3.6,3.34,3.65,3.58,calculate
2.3,1.32,1.79,2.5,3,1.9,3.05,2.83,Social
3.1,2.34,2.47,1.9,3.2,3.38,3.45,3.58,general
2.9,3.28,2.68,2.75,3.3,3.18,3.55,3.5,Social
2.3,1.56,1.97,2.44,2.7,2.1,3.05,2.83,Social
2.3,2.48,2.68,2.88,3.1,3.22,3.35,3.25,Social
3.3,2.86,2.94,3.12,3.8,3.06,3.65,3.83,general
2.9,2.46,2.47,2.6,3.5,3.28,3.45,3.58,general
2.7,2.68,2.41,2.94,3.4,3.06,3.5,3.67,general
2.9,2.04,2.21,3.25,3.4,2.94,3.4,3.33,general
2.6,2.58,2.32,2.4,3.7,3.32,3.55,3.58,general
2.7,2.18,2.15,2.52,3.5,2.56,3.4,3.25,general
2.9,2.52,2.76,2.63,3.7,3.2,3.35,3.75,general
2.5,1.68,2.24,2.23,3.4,2.7,3.35,3.25,general
2.9,2.4,2.32,2.12,3.3,3.26,3.65,3.58,Social
2.1,1.9,2.03,2.33,2.9,2.42,3.2,3.33,general
2.6,2.12,2.12,2.88,3.4,2.78,3.35,3.08,general
2.5,2,2.15,2.73,3.4,2.92,3.2,3.33,general
3.3,2.14,2.5,2.38,3.5,2.84,3.5,3.58,general
3.3,3.72,3.12,3.67,4,3.62,3.45,3.83,general
3.7,3.48,3.38,3.21,3.8,3.64,3.5,3.83,general
3.1,2.3,2.68,3.15,3.4,3.28,3.45,3.5,general
2.6,1.62,1.91,2.12,3.2,2.48,3.4,3.33,Social
3.9,3.6,2.94,3.38,3.7,3.4,3.6,3.92,general
